provider,course_name,german_level,start_info,duration,price,schedule,location,url,phone,requirements,completion,registration,appointment_url,booking_url,district,latitude,longitude
Sprachenatelier Berlin,Evening - A2,A2,Check website or contact school,Ongoing,€220/month,"2x per week, evenings","Friedrichshain, Berlin",https://www.sprachenatelier-berlin.de/en/,See website,,,,,,Friedrichshain,52.515,13.454
Sprachenatelier Berlin,Evening - B1,B1,Check website or contact school,Ongoing,€220/month,"2x per week, evenings","Friedrichshain, Berlin",https://www.sprachenatelier-berlin.de/en/,See website,,,,,,Friedrichshain,52.515,13.454
Sprachenatelier Berlin,Evening - B2,B2,Check website or contact school,Ongoing,€220/month,"2x per week, evenings","Friedrichshain, Berlin",https://www.sprachenatelier-berlin.de/en/,See website,,,,,,Friedrichshain,52.515,13.454
Sprachenatelier Berlin,Evening - C1,C1,Check website or contact school,Ongoing,€220/month,"2x per week, evenings","Friedrichshain, Berlin",https://www.sprachenatelier-berlin.de/en/,See website,,,,,,Friedrichshain,52.515,13.454
Sprachenatelier Berlin,Evening - C2,C2,Check website or contact school,Ongoing,€220/month,"2x per week, evenings","Friedrichshain, Berlin",https://www.sprachenatelier-berlin.de/en/,See website,,,,,,Friedrichshain,52.515,13.454
GLS Language School Berlin,Intensive 20 - A1,A1,Check website or contact school,Flexible,€200/week (1-9w),20 lessons/week,Berlin Campus,https://www.gls-german-courses.de,+49 30 780089-12,,,,,,Mitte,52.52,13.405
GLS Language School Berlin,Intensive 20 - A2,A2,Check website or contact school,Flexible,€200/week (1-9w),20 lessons/week,Berlin Campus,https://www.gls-german-courses.de,+49 30 780089-12,,,,,,Mitte,52.52,13.405
GLS Language School Berlin,Intensive 20 - B1,B1,Check website or contact school,Flexible,€200/week (1-9w),20 lessons/week,Berlin Campus,https://www.gls-german-courses.de,+49 30 780089-12,,,,,,Mitte,52.52,13.405
GLS Language School Berlin,Intensive 20 - B2,B2,Check website or contact school,Flexible,€200/week (1-9w),20 lessons/week,Berlin Campus,https://www.gls-german-courses.de,+49 30 780089-12,,,,,,Mitte,52.52,13.405
GLS Language School Berlin,Intensive 20 - C1,C1,Check website or contact school,Flexible,€200/week (1-9w),20 lessons/week,Berlin Campus,https://www.gls-german-courses.de,+49 30 780089-12,,,,,,Mitte,52.52,13.405
GLS Language School Berlin,Intensive 20 - C2,C2,Check website or contact school,Flexible,€200/week (1-9w),20 lessons/week,Berlin Campus,https://www.gls-german-courses.de,+49 30 780089-12,,,,,,Mitte,52.52,13.405
GLS Language School Berlin,Super Intensive 30 - A1,A1,Check website or contact school,Flexible,€350/week,30 lessons/week,Berlin Campus,https://www.gls-german-courses.de,+49 30 780089-12,,,,,,Mitte,52.52,13.405
GLS Language School Berlin,Super Intensive 30 - A2,A2,Check website or contact school,Flexible,€350/week,30 lessons/week,Berlin Campus,https://www.gls-german-courses.de,+49 30 780089-12,,,,,,Mitte,52.52,13.405
GLS Language School Berlin,Super Intensive 30 - B1,B1,Check website or contact school,Flexible,€350/week,30 lessons/week,Berlin Campus,https://www.gls-german-courses.de,+49 30 780089-12,,,,,,Mitte,52.52,13.405
GLS Language School Berlin,Super Intensive 30 - B2,B2,Check website or contact school,Flexible,€350/week,30 lessons/week,Berlin Campus,https://www.gls-german-courses.de,+49 30 780089-12,,,,,,Mitte,52.52,13.405
GLS Language School Berlin,Super Intensive 30 - C1,C1,Check website or contact school,Flexible,€350/week,30 lessons/week,Berlin Campus,https://www.gls-german-courses.de,+49 30 780089-12,,,,,,Mitte,52.52,13.405
GLS Language School Berlin,Super Intensive 30 - C2,C2,Check website or contact school,Flexible,€350/week,30 lessons/week,Berlin Campus,https://www.gls-german-courses.de,+49 30 780089-12,,,,,,Mitte,52.52,13.405
DeutschAkademie Berlin,Intensive - A1,A1,Check website or contact school,4 weeks,€235-280,3 hours/day,"Bayreuther Str. 8, 10787 Berlin",http://www.deutschakademie.de,030 26947920,,,,,,Mitte,52.52,13.405
DeutschAkademie Berlin,Intensive - A2,A2,Check website or contact school,4 weeks,€235-280,3 hours/day,"Bayreuther Str. 8, 10787 Berlin",http://www.deutschakademie.de,030 26947920,,,,,,Mitte,52.52,13.405
DeutschAkademie Berlin,Intensive - B1,B1,Check website or contact school,4 weeks,€235-280,3 hours/day,"Bayreuther Str. 8, 10787 Berlin",http://www.deutschakademie.de,030 26947920,,,,,,Mitte,52.52,13.405
DeutschAkademie Berlin,Intensive - B2,B2,Check website or contact school,4 weeks,€235-280,3 hours/day,"Bayreuther Str. 8, 10787 Berlin",http://www.deutschakademie.de,030 26947920,,,,,,Mitte,52.52,13.405
DeutschAkademie Berlin,Intensive - C1,C1,Check website or contact school,4 weeks,€235-280,3 hours/day,"Bayreuther Str. 8, 10787 Berlin",http://www.deutschakademie.de,030 26947920,,,,,,Mitte,52.52,13.405
DeutschAkademie Berlin,Intensive - C2,C2,Check website or contact school,4 weeks,€235-280,3 hours/day,"Bayreuther Str. 8, 10787 Berlin",http://www.deutschakademie.de,030 26947920,,,,,,Mitte,52.52,13.405
Kapitel Zwei Berlin,Intensive - A1,A1,Check website or contact school,4 weeks,€280,"16 hours/week, Mon-Fri",Berlin,https://kapitel-zwei.de/en/,See website,,,,,,Mitte,52.52,13.405
Kapitel Zwei Berlin,Intensive - A2,A2,Check website or contact school,4 weeks,€280,"16 hours/week, Mon-Fri",Berlin,https://kapitel-zwei.de/en/,See website,,,,,,Mitte,52.52,13.405
Kapitel Zwei Berlin,Intensive - B1,B1,Check website or contact school,4 weeks,€280,"16 hours/week, Mon-Fri",Berlin,https://kapitel-zwei.de/en/,See website,,,,,,Mitte,52.52,13.405
Kapitel Zwei Berlin,Intensive - B2,B2,Check website or contact school,4 weeks,€280,"16 hours/week, Mon-Fri",Berlin,https://kapitel-zwei.de/en/,See website,,,,,,Mitte,52.52,13.405
Kapitel Zwei Berlin,Intensive - C1,C1,Check website or contact school,4 weeks,€280,"16 hours/week, Mon-Fri",Berlin,https://kapitel-zwei.de/en/,See website,,,,,,Mitte,52.52,13.405
Kapitel Zwei Berlin,Intensive - C2,C2,Check website or contact school,4 weeks,€280,"16 hours/week, Mon-Fri",Berlin,https://kapitel-zwei.de/en/,See website,,,,,,Mitte,52.52,13.405
die deutSCHule,Intensive - A1,A1,Check website or contact school,4 weeks,See website,"Tue-Fri, 16 hours/week",Berlin,https://www.die-deutschule.de/en,See website,,,,,,Mitte,52.52,13.405
die deutSCHule,Intensive - A2,A2,Check website or contact school,4 weeks,See website,"Tue-Fri, 16 hours/week",Berlin,https://www.die-deutschule.de/en,See website,,,,,,Mitte,52.52,13.405
die deutSCHule,Intensive - B1,B1,Check website or contact school,4 weeks,See website,"Tue-Fri, 16 hours/week",Berlin,https://www.die-deutschule.de/en,See website,,,,,,Mitte,52.52,13.405
die deutSCHule,Intensive - B2,B2,Check website or contact school,4 weeks,See website,"Tue-Fri, 16 hours/week",Berlin,https://www.die-deutschule.de/en,See website,,,,,,Mitte,52.52,13.405
die deutSCHule,Intensive - C1,C1,Check website or contact school,4 weeks,See website,"Tue-Fri, 16 hours/week",Berlin,https://www.die-deutschule.de/en,See website,,,,,,Mitte,52.52,13.405
die deutSCHule,Intensive - C2,C2,Check website or contact school,4 weeks,See website,"Tue-Fri, 16 hours/week",Berlin,https://www.die-deutschule.de/en,See website,,,,,,Mitte,52.52,13.405
Humboldt-Institut Berlin,Intensive - A1,A1,Check website or contact school,Flexible,Premium pricing,30 lessons/week with accommodation,Berlin-Mitte,https://www.humboldt-institut.org/en/german-courses/adults/,See website,,,,,,Mitte,52.52,13.405
Humboldt-Institut Berlin,Intensive - A2,A2,Check website or contact school,Flexible,Premium pricing,30 lessons/week with accommodation,Berlin-Mitte,https://www.humboldt-institut.org/en/german-courses/adults/,See website,,,,,,Mitte,52.52,13.405
Humboldt-Institut Berlin,Intensive - B1,B1,Check website or contact school,Flexible,Premium pricing,30 lessons/week with accommodation,Berlin-Mitte,https://www.humboldt-institut.org/en/german-courses/adults/,See website,,,,,,Mitte,52.52,13.405
Humboldt-Institut Berlin,Intensive - B2,B2,Check website or contact school,Flexible,Premium pricing,30 lessons/week with accommodation,Berlin-Mitte,https://www.humboldt-institut.org/en/german-courses/adults/,See website,,,,,,Mitte,52.52,13.405
Humboldt-Institut Berlin,Intensive - C1,C1,Check website or contact school,Flexible,Premium pricing,30 lessons/week with accommodation,Berlin-Mitte,https://www.humboldt-institut.org/en/german-courses/adults/,See website,,,,,,Mitte,52.52,13.405
Humboldt-Institut Berlin,Intensive - C2,C2,Check website or contact school,Flexible,Premium pricing,30 lessons/week with accommodation,Berlin-Mitte,https://www.humboldt-institut.org/en/german-courses/adults/,See website,,,,,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - A1.1,A1.1,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Turmstraße, Berlin Mitte",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - A1.2,A1.2,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Turmstraße, Berlin Mitte",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - A2.1,A2.1,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Turmstraße, Berlin Mitte",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - A2.2,A2.2,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Turmstraße, Berlin Mitte",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - B1.1,B1.1,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Turmstraße, Berlin Mitte",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - B1.2,B1.2,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Turmstraße, Berlin Mitte",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - B2.1,B2.1,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Turmstraße, Berlin Mitte",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - B2.2,B2.2,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Turmstraße, Berlin Mitte",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - C1,C1,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Turmstraße, Berlin Mitte",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - A1.1,A1.1,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Linienstraße 162, 10115 Berlin",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - A1.2,A1.2,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Linienstraße 162, 10115 Berlin",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - A2.1,A2.1,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Linienstraße 162, 10115 Berlin",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - A2.2,A2.2,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Linienstraße 162, 10115 Berlin",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - B1.1,B1.1,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Linienstraße 162, 10115 Berlin",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - B1.2,B1.2,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Linienstraße 162, 10115 Berlin",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - B2.1,B2.1,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Linienstraße 162, 10115 Berlin",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - B2.2,B2.2,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Linienstraße 162, 10115 Berlin",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - C1,C1,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session","Linienstraße 162, 10115 Berlin",https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - A1.1,A1.1,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session",Various locations in Mitte,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - A1.2,A1.2,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session",Various locations in Mitte,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - A2.1,A2.1,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session",Various locations in Mitte,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - A2.2,A2.2,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session",Various locations in Mitte,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - B1.1,B1.1,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session",Various locations in Mitte,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - B1.2,B1.2,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session",Various locations in Mitte,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - B2.1,B2.1,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session",Various locations in Mitte,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - B2.2,B2.2,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session",Various locations in Mitte,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
VHS Berlin Mitte,German Course - C1,C1,Check online catalog,3-3.5 months,€200-235,"2-3x per week, 3h per session",Various locations in Mitte,https://www.berlin.de/vhs/volkshochschulen/mitte/kurse/deutsch/,030 90183 7474,,,In-person only via appointment,https://vhsmitte.flexappoint.de,,Mitte,52.52,13.405
Goethe-Institut Berlin,Intensive German Concise (2 weeks) - A1,A1,Check website for current dates,10 days (50 lessons),€739,"Mon-Fri, 5 lessons/day","Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,Intensive German Concise (2 weeks) - A2,A2,Check website for current dates,10 days (50 lessons),€739,"Mon-Fri, 5 lessons/day","Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,Intensive German Concise (2 weeks) - B1,B1,Check website for current dates,10 days (50 lessons),€739,"Mon-Fri, 5 lessons/day","Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,Intensive German Concise (2 weeks) - B2,B2,Check website for current dates,10 days (50 lessons),€739,"Mon-Fri, 5 lessons/day","Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,Intensive German Concise (2 weeks) - C1,C1,Check website for current dates,10 days (50 lessons),€739,"Mon-Fri, 5 lessons/day","Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,Intensive German Concise (2 weeks) - C2,C2,Check website for current dates,10 days (50 lessons),€739,"Mon-Fri, 5 lessons/day","Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,German Morning Course - A1,A1,Check website for current dates,12 weeks (72 lessons),€799,"Morning, half-day","Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,German Morning Course - A2,A2,Check website for current dates,12 weeks (72 lessons),€799,"Morning, half-day","Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,German Morning Course - B1,B1,Check website for current dates,12 weeks (72 lessons),€799,"Morning, half-day","Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,German Morning Course - B2,B2,Check website for current dates,12 weeks (72 lessons),€799,"Morning, half-day","Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,German Morning Course - C1,C1,Check website for current dates,12 weeks (72 lessons),€799,"Morning, half-day","Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,German Morning Course - C2,C2,Check website for current dates,12 weeks (72 lessons),€799,"Morning, half-day","Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,German Evening Course - A1,A1,Check website for current dates,8-12 weeks (72 lessons),€799,2-3 evenings/week,"Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,German Evening Course - A2,A2,Check website for current dates,8-12 weeks (72 lessons),€799,2-3 evenings/week,"Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,German Evening Course - B1,B1,Check website for current dates,8-12 weeks (72 lessons),€799,2-3 evenings/week,"Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,German Evening Course - B2,B2,Check website for current dates,8-12 weeks (72 lessons),€799,2-3 evenings/week,"Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,German Evening Course - C1,C1,Check website for current dates,8-12 weeks (72 lessons),€799,2-3 evenings/week,"Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
Goethe-Institut Berlin,German Evening Course - C2,C2,Check website for current dates,8-12 weeks (72 lessons),€799,2-3 evenings/week,"Neue Schönhauser Str. 20, 10178 Berlin",https://www.goethe.de/ins/de/en/ort/ber.html,+49 30 259 06 40,,,,,https://www.goethe.de/ins/de/en/ort/ber.html,Mitte,52.52,13.405
