Title,Link,Date & Time,Location
SheCodes the future,https://www.eventbrite.de/e/shecodes-the-future-tickets-1819294050479?aff=ebdssbdestsearch,"Thu, Oct 30, 6:30 PM",Berlin · Le Wagon Berlin - Coding Bootcamp
Berlin Big Business Tech And Entrepreneur Professional Networking Soiree,https://www.eventbrite.com/e/berlin-big-business-tech-and-entrepreneur-professional-networking-soiree-tickets-944065624697?aff=ebdssbdestsearch,Going fast,Berlin · HERMAN Belgian Bar
Berlin Big Business Tech & Entrepreneur Professional Networking Soiree,https://www.eventbrite.com/e/berlin-big-business-tech-entrepreneur-professional-networking-soiree-tickets-944033508637?aff=ebdssbdestsearch,Almost full,Berlin · HERMAN Belgian Bar
HackerX - Berlin (AI) Employer Ticket - 10/28,https://www.eventbrite.com/e/hackerx-berlin-ai-employer-ticket-1028-tickets-1665227583529?aff=ebdssbdestsearch,"Tue, Oct 28, 6:00 PM","Berlin · TBA Berlin, Germany - Interested in hosting this HackerX event at your office? Apply here: https://hackerx.org/host/"
Unicorns in Tech Get-Together @ Deutsche Bank Berlin Technology Centre,https://www.eventbrite.co.uk/e/unicorns-in-tech-get-together-deutsche-bank-berlin-technology-centre-tickets-1711130380029?aff=ebdssbdestsearch,"Thu, Nov 27, 6:00 PM",Berlin · Otto-Suhr-Allee 16
Tech Talk: The DEIB Stack - Coding Inclusion Into Your Culture,https://www.eventbrite.com/e/tech-talk-the-deib-stack-coding-inclusion-into-your-culture-tickets-1784710349699?aff=ebdssbdestsearch,"Wed, Nov 5, 6:00 PM","Berlin · eyeo GmbH, Berlin Office"
EU Digital Identity Wallets Forum,https://www.eventbrite.co.uk/e/eu-digital-identity-wallets-forum-tickets-1147892189439?aff=ebdssbdestsearch,Sales end soon,Berlin · Spielfeld Digital Hub
Legal Disruption Conference 2025 – Legal Tech & Metaverse,https://www.eventbrite.de/e/legal-disruption-conference-2025-legal-tech-metaverse-tickets-1440786544339?aff=ebdssbdestsearch,"Thu, Nov 20, 1:30 PM",Berlin · BSP Business & Law School
Berlin Deep Tech Nexus Meetup #9 – MotionLab.Berlin - XMAS Maker Edition,https://www.eventbrite.com/e/berlin-deep-tech-nexus-meetup-9-motionlabberlin-xmas-maker-edition-tickets-1670612740679?aff=ebdssbdestsearch,"Thu, Dec 11, 5:00 PM",Berlin · MotionLab.Berlin
Founders & Friends Berlin Meetup - Technology & Innovation,https://www.eventbrite.de/e/founders-friends-berlin-meetup-technology-innovation-tickets-1204830694039?aff=ebdssbdestsearch,"Wed, Oct 29, 6:30 PM",Berlin · Schwedter Str. 263
"IT Social Berlin Friday | Data, Technology, Cybersecurity, IT",https://www.eventbrite.com.au/e/it-social-berlin-friday-data-technology-cybersecurity-it-tickets-1116437487579?aff=ebdssbdestsearch,Sales end soon,Berlin · Belushi's Berlin (Alexanderplatz)
Young IT Professionals in Berlin Social Friday,https://www.eventbrite.com.au/e/young-it-professionals-in-berlin-social-friday-tickets-1116438941929?aff=ebdssbdestsearch,Sales end soon,Berlin · Anna Koschke
Code BEAM Europe 2025 - in person,https://www.eventbrite.co.uk/e/code-beam-europe-2025-in-person-tickets-1407873470449?aff=ebdssbdestsearch,"Wed, Nov 5, 9:00 AM",Berlin · Estrel Berlin
AI LISTING ACCELERATOR ! Transform Your RE Business with AI & Automation!,https://www.eventbrite.com/e/ai-listing-accelerator-transform-your-re-business-with-ai-automation-tickets-1842410612739?aff=ebdssbdestsearch,Sales end soon,Online
DM To Dollars 3-Day Challenge,https://www.eventbrite.com/e/dm-to-dollars-3-day-challenge-tickets-1849452414959?aff=ebdssbdestsearch,"Wed, Oct 29, 12:00 PM EDT",Online
Smartphone Photography Made Easy,https://www.eventbrite.com/e/smartphone-photography-made-easy-tickets-1761036390249?aff=ebdssbdestsearch,"Wed, Oct 29, 12:00 PM CDT",Online
(AI) Defense & Dual-Use Startup Meetup – Berlin,https://www.eventbrite.com/e/ai-defense-dual-use-startup-meetup-berlin-tickets-1813771823349?aff=ebdssbdestsearch,"Thu, Nov 6, 6:00 PM",Berlin · betahaus Moritzplatz
Berlin Marketing & Digital Design Social Mixer - Digital Creatives Connect,https://www.eventbrite.com.au/e/berlin-marketing-digital-design-social-mixer-digital-creatives-connect-tickets-1533032033079?aff=ebdssbdestsearch,Sales end soon,Berlin · Belushi's Berlin (Alexanderplatz)
Generative AI for Society and Workplace | Berlin,https://www.eventbrite.com.au/e/generative-ai-for-society-and-workplace-berlin-tickets-1204431831029?aff=ebdssbdestsearch,"Thu, Nov 6, 4:00 PM + 16 more",Berlin · Berlin
MQ Summit 2025,https://www.eventbrite.co.uk/e/mq-summit-2025-tickets-1422058498249?aff=ebdssbdestsearch,"Thu, Nov 6, 9:00 AM",Berlin · Estrel Berlin
Deep Management 3.0,https://www.eventbrite.com/e/deep-management-30-tickets-1480755081309?aff=ebdssbdestsearch,"Mon, Nov 10, 9:00 AM","Berlin · Berlin, 10119, Torstraße 125"
PROJECT HALLOWEEN,https://www.eventbrite.de/e/project-halloween-tickets-1778544206599?aff=ebdssbdestsearch,Going fast,Berlin · MODUS BERLIN
AI Implementation in Business | Berlin,https://www.eventbrite.com.au/e/ai-implementation-in-business-berlin-tickets-1023063970877?aff=ebdssbdestsearch,Thursday at 2:00 PM + 12 more,Berlin · Berlin
Open Mic Pitch by Reaktor.Berlin - Sunrise Edition,https://www.eventbrite.de/e/open-mic-pitch-by-reaktorberlin-sunrise-edition-tickets-1695335607439?aff=ebdssbdestsearch,Sales end soon,Berlin · hubraum - tech incubator of Deutsche Telekom
YOUNGLA EU Link Up: Berlin |Powered by ESN,https://www.eventbrite.co.uk/e/youngla-eu-link-up-berlin-powered-by-esn-tickets-1753129751279?aff=ebdssbdestsearch,Almost full,"Berlin · Motorwerk Berlin – Eventlocation mit Industriecharme. 3.500 m², High-Tech-Anbindung, CO₂-neutral, Platz für 1.500 Gäste"
Geopolitics in 40 Minutes: A Practical Guide to What’s Changing,https://www.eventbrite.de/e/geopolitics-in-40-minutes-a-practical-guide-to-whats-changing-tickets-1674678411209?aff=ebdssbdestsearch,"Tue, Nov 4, 6:30 PM",Berlin · The Castle Berlin Mitte
Data Science & Analytics meetup and chat Berlin Friday,https://www.eventbrite.com.au/e/data-science-analytics-meetup-and-chat-berlin-friday-tickets-1116438069319?aff=ebdssbdestsearch,Sales end soon,Berlin · Belushi's Berlin (Alexanderplatz)
Unicorns in Tech FLINTA* Afterwork | for the FLINTA* Tech Community,https://www.eventbrite.co.uk/e/unicorns-in-tech-flinta-afterwork-for-the-flinta-tech-community-tickets-698281748507?aff=ebdssbdestsearch,"Thu, Nov 20, 6:00 PM",Berlin · Crack Bellmer
Unicorns In Tech Afterwork | for the LGBTIQ+ Tech Community,https://www.eventbrite.co.uk/e/unicorns-in-tech-afterwork-for-the-lgbtiq-tech-community-tickets-835620542537?aff=ebdssbdestsearch,"Thu, Dec 4, 6:00 PM",Berlin · Crack Bellmer
SX FESTIVAL & EXPO 2026 BERLIN (B2B ONLY),https://www.eventbrite.ie/e/sx-festival-expo-2026-berlin-b2b-only-tickets-1461155267739?aff=ebdssbdestsearch,"Sat, Jun 27, 11:00 AM",Berlin · Magazin in der Heeresbäckerei
ISTQB Test Analyst Training Course (in English) - Berlin,https://www.eventbrite.com/e/istqb-test-analyst-training-course-in-english-berlin-tickets-1332903092029?aff=ebdssbdestsearch,"Mon, Nov 3, 9:00 AM + 26 more",Berlin · U Potsdamer Platz
BITS & DRINKS //  Networking für  digitale Köpfe der Hauptstadtregion,https://www.eventbrite.de/e/bits-drinks-networking-fur-digitale-kopfe-der-hauptstadtregion-registrierung-1058879339609?aff=ebdssbdestsearch,"Wed, Oct 29, 6:00 PM + 12 more",Berlin · Spreegold Bikini Berlin
Maker Basics: 3D Printing & Laser Cutting,https://www.eventbrite.de/e/maker-basics-3d-printing-laser-cutting-tickets-1075672648849?aff=ebdssbdestsearch,"Tue, Nov 11, 1:30 PM + 1 more",Berlin · FabLab Neukölln
Book Launch | Decarbonista: A Refreshing Guide to Climate Savvy Living,https://www.eventbrite.de/e/book-launch-decarbonista-a-refreshing-guide-to-climate-savvy-living-tickets-1802288235629?aff=ebdssbdestsearch,Just added,Berlin · Minoa | Café & Bookstore
KI in der Praxis: Architekturentscheidungen & Softwarequalität im Wandel,https://www.eventbrite.de/e/ki-in-der-praxis-architekturentscheidungen-softwarequalitat-im-wandel-tickets-1811680789009?aff=ebdssbdestsearch,"Tue, Nov 4, 5:30 PM",Berlin · Merantix AI Campus Berlin
Model Context Protocol (MCP) Mastery Workshop,https://www.eventbrite.com/e/model-context-protocol-mcp-mastery-workshop-tickets-1767893560229?aff=ebdssbdestsearch,Going fast,Online
Inside a Real AI in Healthcare Case: What Worked and What Didn’t,https://www.eventbrite.ca/e/inside-a-real-ai-in-healthcare-case-what-worked-and-what-didnt-tickets-1837713393229?aff=ebdssbdestsearch,Just added,Online
Monthly Meet Up,https://www.eventbrite.de/e/monthly-meet-up-tickets-1818120610689?aff=ebdssbdestsearch,"Tue, Nov 4, 9:00 AM",Berlin · St. Oberholz | Oranienstrasse
"KI einfach erklärt, spannend & ohne Vorwissen",https://www.eventbrite.de/e/ki-einfach-erklart-spannend-ohne-vorwissen-tickets-1658661734899?aff=ebdssbdestsearch,"Mon, Oct 27, 5:00 PM",Potsdam · Hasso-Plattner-Institut
Security Trends & Weihnachtsplätzchen: Networking für IT-Security Insider,https://www.eventbrite.de/e/security-trends-weihnachtsplatzchen-networking-fur-it-security-insider-tickets-1796951352869?aff=ebdssbdestsearch,"Wed, Nov 12, 5:30 PM",Berlin · CCVOSSEL GmbH
NEM Summit 2025,https://www.eventbrite.de/e/nem-summit-2025-tickets-1512925925169?aff=ebdssbdestsearch,Today at 9:00 AM,Berlin · Fraunhofer Institut für Offene Kommunikationssysteme FOKUS
Power Supply for Data Centers 2026 - AI x Energy Nexus,https://www.eventbrite.co.uk/e/power-supply-for-data-centers-2026-ai-x-energy-nexus-tickets-1801123582119?aff=ebdssbdestsearch,"Mon, Feb 16, 8:30 AM",Berlin · Karl-Liebknecht-Str. 32
Next Step by Glowstep: Real talk about what’s next,https://www.eventbrite.com/e/next-step-by-glowstep-real-talk-about-whats-next-tickets-1784273814009?aff=ebdssbdestsearch,Today at 6:00 PM,Berlin · Futur2 Studio
InnerSource Summit 2025 - Berlin,https://www.eventbrite.com/e/innersource-summit-2025-berlin-tickets-1414870809679?aff=ebdssbdestsearch,"Thu, Nov 13, 9:00 AM",Berlin · SAP SE (BER01)
OutGeek Women - Berlin Team Ticket (Intl. Women's Day Event),https://www.eventbrite.com/e/outgeek-women-berlin-team-ticket-intl-womens-day-event-tickets-1778584075849?aff=ebdssbdestsearch,"Tue, Mar 3, 6:00 PM",Berlin · SumUp
SPACE EGG OPENING ART EVENT,https://www.eventbrite.de/e/space-egg-opening-art-event-tickets-1394212008649?aff=ebdssbdestsearch,"Thu, Nov 6, 6:00 PM",Berlin · Nicoleta Gallery Berlin
Reimagining North-South Partnerships - Building Impact Together,https://www.eventbrite.de/e/reimagining-north-south-partnerships-building-impact-together-tickets-1798016950099?aff=ebdssbdestsearch,"Mon, Oct 27, 5:30 PM",Berlin · Berlin Global Village gGmbH
Social Media Creators & Influencers Meetup Berlin #29,https://www.eventbrite.at/e/social-media-creators-influencers-meetup-berlin-29-tickets-1739371399679?aff=ebdssbdestsearch,"Tue, Nov 4, 6:30 PM",Berlin · Bar 260°
AI for Impact,https://www.eventbrite.ca/e/ai-for-impact-tickets-1687785926139?aff=ebdssbdestsearch,"Wed, Nov 5, 1:00 PM",Berlin · Impact Hub Berlin
AI Builders Berlin :: Pizza + Demos + Networking,https://www.eventbrite.com/e/ai-builders-berlin-pizza-demos-networking-tickets-1237001828769?aff=ebdssbdestsearch,"Wed, Oct 29, 5:30 PM",Berlin · CIC Berlin
How the Global South is Reclaiming space in the digital Landscape,https://www.eventbrite.de/e/how-the-global-south-is-reclaiming-space-in-the-digital-landscape-tickets-1758573252939?aff=ebdssbdestsearch,Today at 5:30 PM,Berlin · Berlin Global Village gGmbH
Blackmagic 12K RGBW Kamera-Workshop,https://www.eventbrite.de/e/blackmagic-12k-rgbw-kamera-workshop-tickets-1766000859109?aff=ebdssbdestsearch,Going fast,Berlin · Teltec Berlin
CLA-Abend II: Die Zukunft unseres Wohlstandes,https://www.eventbrite.de/e/cla-abend-ii-die-zukunft-unseres-wohlstandes-tickets-1730528490299?aff=ebdssbdestsearch,"Tue, Nov 18, 6:00 PM",Berlin · Schaltzeit GmbH
Free Onsite Coding Course for Women+: The Basics of WebDev in 5 days,https://www.eventbrite.de/e/free-onsite-coding-course-for-women-the-basics-of-webdev-in-5-days-tickets-1737811403689?aff=ebdssbdestsearch,"Mon, Dec 1, 10:10 AM",Berlin · 42 Berlin
Enterprise LLM Security in the Age of AI Transformation,https://www.eventbrite.com/e/enterprise-llm-security-in-the-age-of-ai-transformation-tickets-1372684669799?aff=ebdssbdestsearch,Sales end soon,Berlin · Spreegold Bikini Berlin
Digital Circular Economy,https://www.eventbrite.de/e/digital-circular-economy-tickets-1759436685489?aff=ebdssbdestsearch,Going fast,Berlin · Antler
"SEO- & AI-Breakfast ""Rise & Rank""",https://www.eventbrite.com/e/seo-ai-breakfast-rise-rank-tickets-1781266198149?aff=ebdssbdestsearch,"Thu, Nov 6, 9:30 AM",Berlin · Buzzmatic GmbH & Co. KG
Break Into Tech: The Seaview Hands-On Training Experience,https://www.eventbrite.com/e/break-into-tech-the-seaview-hands-on-training-experience-tickets-1847065545769?aff=ebdssbdestsearch,Just added,Online
[Webinar] Speed Up Your AI: Practical Performance Engineering Tips,https://www.eventbrite.com/e/webinar-speed-up-your-ai-practical-performance-engineering-tips-tickets-1778470315589?aff=ebdssbdestsearch,"Thu, Oct 30, 12:00 PM PDT",Online
Google Workspace for Everyday Success - 4 Week Live Class,https://www.eventbrite.com/e/google-workspace-for-everyday-success-4-week-live-class-registration-1830950244469?aff=ebdssbdestsearch,"Thu, Oct 30, 6:00 PM CDT",Online
Roadshow Berlin – Digitale Praxishelfer im Einsatz,https://www.eventbrite.de/e/roadshow-berlin-digitale-praxishelfer-im-einsatz-tickets-1714144415089?aff=ebdssbdestsearch,Going fast,Berlin · Essential by Dorint Berlin
Canon Roadshow 2025 – Cinema EOS und das RF System zum Anfassen,https://www.eventbrite.de/e/canon-roadshow-2025-cinema-eos-und-das-rf-system-zum-anfassen-tickets-1795314517049?aff=ebdssbdestsearch,"Tue, Nov 4, 4:00 PM",Berlin · Teltec Berlin
SUPERCOMPUTING IN EUROPA,https://www.eventbrite.es/e/supercomputing-in-europa-tickets-1452390792959?aff=ebdssbdestsearch,"Thu, Nov 6, 7:00 PM",Berlin · Instituto Cervantes Berlin - Das spanische Kulturinstitut
Effizientes Abfragen von Informationen aus Dokumenten,https://www.eventbrite.de/e/effizientes-abfragen-von-informationen-aus-dokumenten-tickets-1611078191239?aff=ebdssbdestsearch,"Thu, Nov 6, 10:00 AM",Potsdam · Hasso-Plattner-Institut
Experience Autonomous Mobility in Berlin,https://www.eventbrite.de/e/experience-autonomous-mobility-in-berlin-tickets-1740080069329?aff=ebdssbdestsearch,"Thu, Oct 30, 4:30 PM",Berlin · ZEKI | Zentrum für erlebbare Künstliche Intelligenz und Digitalisierung
Die grüne Couch: MediaTech meets… einbliq.io & filmfriend,https://www.eventbrite.de/e/die-grune-couch-mediatech-meets-einbliqio-filmfriend-tickets-1609904580939?aff=ebdssbdestsearch,"Wed, Nov 5, 5:30 PM",Potsdam · Schaudepot des Filmmuseums
ARRtist Summit 2026,https://www.eventbrite.de/e/arrtist-summit-2026-tickets-1709585449099?aff=ebdssbdestsearch,"Thu, Oct 8, 8:30 AM",Berlin · Von Greifswald
Movers & Shakers ‘Business in Berlin',https://www.eventbrite.co.uk/e/movers-shakers-business-in-berlin-tickets-1537803785519?aff=ebdssbdestsearch,Going fast,Berlin · Scharrenstraße 22
"Meet the MSt in Entrepreneurship, Berlin",https://www.eventbrite.com/e/meet-the-mst-in-entrepreneurship-berlin-tickets-1777744394339?aff=ebdssbdestsearch,"Thu, Nov 6, 6:30 PM",Berlin · Techspace Kreuzberg
Open House: Come Visit Our Campus!,https://www.eventbrite.de/e/open-house-come-visit-our-campus-tickets-1729529883439?aff=ebdssbdestsearch,"Wed, Nov 5, 2:00 PM",Berlin · Spiced Academy
RED & WINE TOUR 2025,https://www.eventbrite.de/e/red-wine-tour-2025-tickets-1813782615629?aff=ebdssbdestsearch,"Tue, Nov 11, 4:00 PM",Berlin · Teltec Berlin
Innovation Brunch: KI gestützte Prozessautomation und Digital Experience,https://www.eventbrite.de/e/innovation-brunch-ki-gestutzte-prozessautomation-und-digital-experience-tickets-1788913922699?aff=ebdssbdestsearch,Almost full,Berlin · David Lloyd Meridian Berlin Spandau Arcaden
Startups+/understand design thinking vs. lean startup vs. agile,https://www.eventbrite.com/e/startupsunderstand-design-thinking-vs-lean-startup-vs-agile-tickets-1697522658969?aff=ebdssbdestsearch,"Fri, Dec 5, 7:00 PM",Berlin · Berlin
"HTW Berlin & OEV Innovation Hub Meet-up: Innovation, Trends & Networking",https://www.eventbrite.com/e/htw-berlin-oev-innovation-hub-meet-up-innovation-trends-networking-tickets-1813399670229?aff=ebdssbdestsearch,"Thu, Nov 6, 4:00 PM",Berlin · BASECAMP
Automating Acceptance & Release Readiness in Jira with Agent| Berlin Meetup,https://www.eventbrite.com/e/automating-acceptance-release-readiness-in-jira-with-agent-berlin-meetup-tickets-1804577111719?aff=ebdssbdestsearch,Sales end soon,Berlin · SumUp Services GmbH
Videos & Audios durchsuchen mit KI,https://www.eventbrite.de/e/videos-audios-durchsuchen-mit-ki-tickets-1611192202249?aff=ebdssbdestsearch,"Fri, Nov 21, 10:00 AM",Potsdam · Hasso -Plattner-Institut
Tier 4 : STU Training  Tour Potsdam,https://www.eventbrite.de/e/tier-4-stu-training-tour-potsdam-tickets-1445694664659?aff=ebdssbdestsearch,"Wed, Feb 4, 9:00 AM",Potsdam · Hartje Bike Experience Center Potsdam
Launch Your Own Successful AI App | AI Startup | Workshop 2025,https://www.eventbrite.com/e/launch-your-own-successful-ai-app-ai-startup-workshop-2025-tickets-892940738787?aff=ebdssbdestsearch,"Tue, Oct 28, 1:00 PM + 47 more",Berlin · Berlin
SX Festival & SX Expo 2026 Berlin,https://www.eventbrite.ie/e/sx-festival-sx-expo-2026-berlin-tickets-1550925051579?aff=ebdssbdestsearch,"Sat, Jun 27, 12:00 PM",Berlin · Magazin in der Heeresbäckerei
CPI + Google.org Essentials of AI Training  November,https://www.eventbrite.de/e/cpi-googleorg-essentials-of-ai-training-november-tickets-1756245560749?aff=ebdssbdestsearch,"Thu, Nov 20, 5:00 PM",Berlin · Code Academy Berlin
Rise of AI Conference 2026,https://www.eventbrite.de/e/rise-of-ai-conference-2026-tickets-1524895586749?aff=ebdssbdestsearch,"Wed, May 6, 8:35 AM",Berlin · Humboldt Carré Konferenz- und Eventzentrum
ISTQB® Advanced Level Test Manager Training Course (in English) - Berlin,https://www.eventbrite.com/e/istqb-advanced-level-test-manager-training-course-in-english-berlin-tickets-229294605337?aff=ebdssbdestsearch,"Mon, Nov 3, 9:00 AM + 9 more",Berlin · Gontardstraße 11
Meet the Machines: Onboarding Session at FabLab Neukölln,https://www.eventbrite.de/e/meet-the-machines-onboarding-session-at-fablab-neukolln-tickets-579288656967?aff=ebdssbdestsearch,"Mon, Oct 27, 6:30 PM + 3 more",Berlin · FabLab Neukölln
Maker Basics: Sewing,https://www.eventbrite.de/e/maker-basics-sewing-tickets-1075716158989?aff=ebdssbdestsearch,Almost full,Berlin · FabLab Neukölln
Nikon X Teltec. Z-Mount Pro Video Meetup,https://www.eventbrite.de/e/nikon-x-teltec-z-mount-pro-video-meetup-tickets-1818087090429?aff=ebdssbdestsearch,"Thu, Dec 4, 2:00 PM",Berlin · Teltec Berlin
Maker Basics: Soldering & Electronics,https://www.eventbrite.de/e/maker-basics-soldering-electronics-tickets-1259469750929?aff=ebdssbdestsearch,"Mon, Nov 3, 4:00 PM + 1 more",Berlin · FabLab Neukölln
Zukunft der Arbeit - Prozessinnovation durch immersive Technologien,https://www.eventbrite.de/e/zukunft-der-arbeit-prozessinnovation-durch-immersive-technologien-tickets-1639773349229?aff=ebdssbdestsearch,"Wed, Nov 26, 3:00 PM",Berlin · Hochschule für Technik und Wirtschaft Berlin (HTW Berlin) - Campus Wilhelminenhof
Startups Mentorship Program,https://www.eventbrite.com/e/startups-mentorship-program-tickets-121638868129?aff=ebdssbdestsearch,"Sat, Nov 8, 5:00 PM + 2 more",Berlin · Berlin
Workshop—Introduction to UV Printing with  the eufyMake E1,https://www.eventbrite.de/e/workshopintroduction-to-uv-printing-with-the-eufymake-e1-tickets-1657701693389?aff=ebdssbdestsearch,"Thu, Jan 8, 10:00 AM + 10 more",Berlin · MotionLab.Berlin
Momentum+/ Solve the digital divide in the AI age,https://www.eventbrite.com/e/momentum-solve-the-digital-divide-in-the-ai-age-tickets-1850123702799?aff=ebdssbdestsearch,"Fri, Nov 21, 7:00 PM",Berlin · Berlin
"ISTQB® Foundation Exam and Training Course (in English) - Berlin, 3 days",https://www.eventbrite.com/e/istqb-foundation-exam-and-training-course-in-english-berlin-3-days-tickets-34163571161?aff=ebdssbdestsearch,"Mon, Nov 10, 9:00 AM + 24 more",Berlin · Knesebeckstraße 62
DJ Workshop for beginners: Group sessions with DJ BERKITA ✨,https://www.eventbrite.de/e/dj-workshop-for-beginners-group-sessions-with-dj-berkita-tickets-1401740626949?aff=ebdssbdestsearch,Today at 6:30 PM + 26 more,Berlin · Köpenicker Straße
How to get started in leadership as a female engineer? - Ada Rise by Enpal,https://www.eventbrite.de/e/how-to-get-started-in-leadership-as-a-female-engineer-ada-rise-by-enpal-tickets-1803173573699?aff=ebdssbdestsearch,"Thu, Nov 20, 5:00 PM",Berlin · Enpal BV
Maker Basics: Woodworking,https://www.eventbrite.de/e/maker-basics-woodworking-tickets-1075694103019?aff=ebdssbdestsearch,Going fast,Berlin · FabLab Neukölln
Prompt to Profit — Learn Generative AI for Business and Innovation,https://www.eventbrite.com/e/prompt-to-profit-learn-generative-ai-for-business-and-innovation-tickets-1845890802079?aff=ebdssbdestsearch,Sales end soon,Berlin · Regus Berlin
Build Your First Successful AI SaaS Startup Today! - Workshop,https://www.eventbrite.com/e/build-your-first-successful-ai-saas-startup-today-workshop-tickets-887019458077?aff=ebdssbdestsearch,Sales end soon,Berlin · Regus Office
15.10 Tech & Trivia Pub Quiz,https://www.eventbrite.de/e/1510-tech-trivia-pub-quiz-registration-1704306960999?aff=ebdssbdestsearch,"Wed, Oct 15, 6:00 PM",Berlin · Electric Social
"Berlin, Germany - Small99's People, Planet, Pint™: Sustainability Meetup",https://www.eventbrite.co.uk/e/berlin-germany-small99s-people-planet-pinttm-sustainability-meetup-tickets-1711470838349?aff=ebdssbdestsearch,"Mon, Dec 8, 7:00 PM",Berlin · Rotes Rathaus Christmas Market
Entrepreneurship Summit 2026 in Berlin,https://www.eventbrite.de/e/entrepreneurship-summit-2026-in-berlin-tickets-1780515482739?aff=ebdssbdestsearch,"Sat, Oct 17, 9:00 AM",Berlin · Henry-Ford-Bau
Founders Running Club :: Berlin,https://www.eventbrite.com/e/founders-running-club-berlin-tickets-911910287217?aff=ebdssbdestsearch,Sales end soon,Berlin · Dorothea-Schlegel-Platz
"Berlin Presentation Lab- Biweekly Impulse Lecture, Practice & Coaching",https://www.eventbrite.com/e/berlin-presentation-lab-biweekly-impulse-lecture-practice-coaching-tickets-1796486833479?aff=ebdssbdestsearch,"Tue, Dec 16, 6:30 PM",Berlin · Chausseestraße 86
"ISTQB® Automation Engineer Training Course - Berlin(3 days, in English)",https://www.eventbrite.com/e/istqb-automation-engineer-training-course-berlin3-days-in-english-tickets-109154046692?aff=ebdssbdestsearch,"Wed, Nov 12, 9:00 AM + 3 more",Berlin · U Potsdamer Platz
Certified Blockchain Associate | Berlin,https://www.eventbrite.com.au/e/certified-blockchain-associate-berlin-tickets-491440631157?aff=ebdssbdestsearch,Thursday at 4:00 PM + 5 more,Berlin · Berlin
CIO Germany 2026,https://www.eventbrite.co.uk/e/cio-germany-2026-tickets-1502868262429?aff=ebdssbdestsearch,"Thu, Jun 4, 8:30 AM","Berlin · The Ritz-Carlton, Berlin"
Low-Code First Friday im November,https://www.eventbrite.de/e/low-code-first-friday-im-november-tickets-1118791127379?aff=ebdssbdestsearch,"Fri, Nov 7, 10:00 AM",Berlin · Scopeland Technology GmbH
ISTQB®  Test Automation Strategy Training Course - Berlin(in English),https://www.eventbrite.com/e/istqb-test-automation-strategy-training-course-berlinin-english-tickets-1026817818737?aff=ebdssbdestsearch,Monday at 9:00 AM + 33 more,Berlin · U Potsdamer Platz
Low-Code First Friday im Dezember,https://www.eventbrite.de/e/low-code-first-friday-im-dezember-tickets-1118791468399?aff=ebdssbdestsearch,"Fri, Dec 5, 10:00 AM",Berlin · Scopeland Technology GmbH
Teckel TV - Der Talk mit Bernd Kötting,https://www.eventbrite.de/e/teckel-tv-der-talk-mit-bernd-kotting-tickets-1845160728409?aff=ebdssbdestsearch,Just added,Berlin · Posh Teckel
